first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,state,age
Cristen,Maroney,Female,22,1999-11-21,IT,High Net Worth,Yes,QLD,20.0
Dorothy,Barnardo,Female,58,1983-02-01,Retail,High Net Worth,No,NSW,37.0
Rosmunda,Duxbarry,Female,69,1996-07-20,Property,Affluent Customer,Yes,QLD,24.0
Rozamond,Riha,Female,54,1984-10-07,Manufacturing,Affluent Customer,Yes,QLD,35.0
Gunner,Petti,Male,62,1999-06-08,Financial Services,High Net Worth,Yes,QLD,21.0
Sherilyn,Canero,Female,11,1996-08-03,Health,High Net Worth,Yes,NSW,24.0
Bessie,Roscow,Female,78,1994-08-04,Financial Services,Mass Customer,No,NSW,26.0
Kevina,Ferandez,Female,73,1999-09-21,Financial Services,High Net Worth,No,QLD,21.0
Mabelle,Wellbelove,Female,76,1958-04-21,Financial Services,Affluent Customer,Yes,NSW,62.0
Hasheem,Groucock,Male,98,1974-09-17,Manufacturing,High Net Worth,Yes,NSW,46.0
Tobias,Woodhams,Male,0,1961-04-15,Health,Mass Customer,No,NSW,59.0
Glennis,Flintoff,Female,36,1956-10-22,Health,Affluent Customer,Yes,VIC,63.0
Chanda,Mensler,Female,15,1972-01-14,Manufacturing,Mass Customer,Yes,NSW,48.0
Katheryn,Kinner,Female,15,1973-11-28,Entertainment,High Net Worth,No,NSW,46.0
Sumner,Carrivick,Male,53,1995-04-09,Manufacturing,Mass Customer,No,NSW,25.0
Valerie,Pickover,Female,34,1965-09-08,Financial Services,Mass Customer,No,NSW,55.0
Esther,Rooson,Female,14,1981-02-22,Financial Services,Mass Customer,No,NSW,39.0
Gardie,Crellim,Male,58,1975-09-12,Manufacturing,High Net Worth,No,VIC,45.0
Sean,O'Loughlin,Male,48,1961-03-22,Manufacturing,High Net Worth,Yes,NSW,59.0
Marysa,Rouchy,Female,8,1999-02-15,Entertainment,Affluent Customer,No,NSW,21.0
Ossie,Midden,Male,49,1950-02-10,Manufacturing,Mass Customer,Yes,NSW,70.0
Sid,Carlone,Male,24,1971-08-18,Health,Affluent Customer,No,QLD,49.0
Patricia,Everix,Female,34,1978-02-19,Health,Mass Customer,No,NSW,42.0
Andromache,Bonafacino,Female,84,1977-09-01,Retail,Mass Customer,No,NSW,43.0
Jehu,Prestedge,Male,91,1999-10-20,Manufacturing,High Net Worth,Yes,NSW,20.0
Symon,Mawne,Male,18,1943-02-08,Property,Mass Customer,Yes,VIC,77.0
Karlik,Penchen,Male,60,1994-10-31,Retail,Mass Customer,No,QLD,25.0
Bengt,Bilson,Male,26,1972-11-02,Manufacturing,High Net Worth,No,NSW,47.0
Evangelin,Boc,Female,30,2000-05-09,Manufacturing,High Net Worth,Yes,VIC,20.0
Hanny,Treven,Female,84,1991-01-22,Retail,Mass Customer,No,QLD,29.0
Gina,Mallon,Female,56,1994-02-11,Health,Mass Customer,No,QLD,26.0
Reynold,Elman,Male,19,1940-01-18,Manufacturing,Mass Customer,No,NSW,80.0
Flossy,Concannon,Female,64,1980-10-20,Financial Services,Affluent Customer,No,VIC,39.0
Cristen,Wiltshire,Female,59,1961-10-20,Financial Services,High Net Worth,Yes,VIC,58.0
Griffith,Escot,Male,50,1946-10-23,IT,Mass Customer,Yes,QLD,73.0
Jamie,Jiruca,Female,21,1963-06-16,Argiculture,Mass Customer,No,NSW,57.0
Lyon,Brittan,Male,14,1972-04-23,Retail,High Net Worth,No,VIC,48.0
Michal,Bryan,Female,1,1969-11-09,Manufacturing,Mass Customer,Yes,QLD,50.0
Franciska,Stigell,Female,95,1968-11-15,Health,Mass Customer,Yes,VIC,51.0
Jordan,Clampe,Male,37,1939-12-09,Financial Services,Mass Customer,Yes,QLD,80.0
Meriel,Tapp,Female,0,1995-08-13,IT,Mass Customer,No,VIC,25.0
Dolley,Starmont,Female,53,1977-11-08,Manufacturing,Affluent Customer,No,QLD,42.0
Frederik,Milan,Male,45,1997-11-13,Health,Mass Customer,No,NSW,22.0
Rollo,Louedey,Male,64,1946-07-09,Telecommunications,Affluent Customer,Yes,NSW,74.0
Jerrine,Cosbey,Female,21,1978-01-11,Financial Services,High Net Worth,Yes,VIC,42.0
Roddy,Rubinshtein,Male,37,1987-10-08,Retail,Mass Customer,Yes,QLD,32.0
Viki,Coutts,Female,2,1952-12-14,Property,Mass Customer,Yes,NSW,67.0
Ashby,Bispham,Male,71,1981-10-29,Retail,Affluent Customer,No,NSW,38.0
Peria,Rantoull,Female,3,1975-03-13,Financial Services,Mass Customer,No,QLD,45.0
Elsworth,Abbitt,Male,71,1956-02-08,Health,Mass Customer,Yes,VIC,64.0
Rebeca,Aggas,Female,66,1953-02-27,Health,Affluent Customer,No,VIC,67.0
Ricki,Dobrowski,Male,13,1975-03-10,Manufacturing,Mass Customer,Yes,NSW,45.0
Georgetta,Lovett,Female,42,1940-02-02,Retail,Mass Customer,No,QLD,80.0
Bambi,Cogger,Female,51,1990-07-12,Retail,Affluent Customer,Yes,NSW,30.0
Aurie,Rhead,Female,78,1962-07-28,Manufacturing,Affluent Customer,Yes,NSW,58.0
Nowell,Preddy,Male,29,1985-07-23,Manufacturing,Mass Customer,No,NSW,35.0
Lacy,Drance,Female,27,1978-02-05,Manufacturing,Affluent Customer,Yes,NSW,42.0
Malorie,Votier,Female,90,1990-05-29,Manufacturing,Affluent Customer,No,QLD,30.0
Shepperd,Ricards,Male,28,1967-09-27,Health,Mass Customer,Yes,NSW,52.0
Daryl,Pauncefort,Female,12,1979-06-18,Financial Services,Mass Customer,Yes,NSW,41.0
Norina,Blakeway,Female,60,1980-02-11,Property,Mass Customer,Yes,VIC,40.0
My,Chaston,Male,92,1966-07-16,Manufacturing,Affluent Customer,Yes,VIC,54.0
Isak,Bergstram,Male,14,2001-03-08,Health,Affluent Customer,Yes,NSW,19.0
Grannie,Cracker,Male,28,1949-03-06,Retail,Mass Customer,Yes,QLD,71.0
Welby,Lourenco,Male,6,1975-12-27,Financial Services,High Net Worth,Yes,NSW,44.0
Glenn,Casbourne,Female,4,1981-08-08,Manufacturing,Mass Customer,No,QLD,39.0
Nadiya,Balasini,Female,40,1950-11-05,Financial Services,Mass Customer,No,NSW,69.0
Tyne,Coate,Female,82,1965-07-15,Manufacturing,Mass Customer,No,NSW,55.0
Christie,Anders,Male,38,1969-10-02,Retail,Mass Customer,No,NSW,50.0
Agnella,Capener,Female,58,1969-05-21,Health,High Net Worth,No,VIC,51.0
Bernardine,Delmonti,Female,39,1971-03-31,Property,Mass Customer,No,NSW,49.0
Daisy,Spowart,Female,60,1967-12-18,Health,Affluent Customer,Yes,QLD,52.0
Denys,Minshall,Female,30,1961-12-26,Manufacturing,Affluent Customer,Yes,NSW,58.0
Archibald,Blessed,Male,61,1969-02-10,Financial Services,Mass Customer,Yes,NSW,51.0
Feodor,Englishby,Male,54,1961-08-14,Health,Mass Customer,No,VIC,59.0
Skippie,Yearsley,Male,6,1956-09-04,Financial Services,Mass Customer,No,QLD,64.0
Bill,Yearsley,Female,74,1963-04-24,Property,Mass Customer,Yes,NSW,57.0
Tessa,Friese,Female,89,1976-10-24,Financial Services,Mass Customer,No,QLD,43.0
Roseanne,Caruth,Female,16,1957-05-25,Health,Mass Customer,No,NSW,63.0
Nichole,Leisman,Male,37,1986-08-07,Property,Affluent Customer,No,NSW,34.0
Amil,Ennor,Female,23,1995-08-04,Health,Mass Customer,Yes,VIC,25.0
Shawna,Hinrichsen,Female,60,1969-08-27,Manufacturing,Affluent Customer,Yes,NSW,51.0
Robert,Corkill,Male,55,1976-03-12,Health,Mass Customer,No,NSW,44.0
Elvira,Kurten,Female,65,1973-03-18,Financial Services,High Net Worth,No,NSW,47.0
Juliana,Mitchenson,Female,55,1989-01-05,Manufacturing,Mass Customer,Yes,QLD,31.0
Regine,Bownes,Female,99,1952-07-01,Retail,Affluent Customer,No,VIC,68.0
Abner,Fraschetti,Male,33,1986-01-23,Argiculture,Affluent Customer,No,VIC,34.0
Sawyer,Sponton,Male,36,1956-02-22,Property,Mass Customer,Yes,NSW,64.0
Feodor,Vickers,Male,60,1989-11-18,Financial Services,Mass Customer,Yes,NSW,30.0
Paten,Cayet,Male,56,1995-02-19,Manufacturing,Affluent Customer,Yes,VIC,25.0
Loria,Tappington,Female,72,1955-09-06,Property,Mass Customer,No,VIC,65.0
Tanya,Kiefer,Female,54,1992-07-05,Telecommunications,High Net Worth,No,NSW,28.0
Omero,McDonand,Male,51,1952-04-01,Manufacturing,Mass Customer,No,NSW,68.0
Iain,Haversham,Male,92,1950-12-26,Retail,Mass Customer,Yes,NSW,69.0
Keriann,Newham,Female,71,1975-03-26,Financial Services,Mass Customer,No,QLD,45.0
Conroy,Rappaport,Male,39,1965-01-08,Health,High Net Worth,No,NSW,55.0
Dorian,Rustman,Male,78,1974-12-09,Manufacturing,Mass Customer,No,QLD,45.0
Harlin,Mazin,Male,34,1974-03-25,Manufacturing,Mass Customer,Yes,NSW,46.0
Eustacia,Dornan,Female,68,1985-09-02,Property,Mass Customer,No,VIC,35.0
Maury,Galego,Male,65,1992-07-27,Health,High Net Worth,Yes,VIC,28.0
Reggie,Kernar,Female,26,1971-11-28,Financial Services,High Net Worth,No,NSW,48.0
Kinna,Kollasch,Female,7,1986-11-09,Property,High Net Worth,No,QLD,33.0
Maurizio,Comi,Male,74,1996-05-30,IT,Affluent Customer,No,NSW,24.0
Elbertina,Fendley,Female,32,1992-03-27,Property,Affluent Customer,No,NSW,28.0
Franklin,Wohler,Male,55,1938-10-16,Health,Mass Customer,Yes,NSW,81.0
Allyson,Petchell,Female,16,1970-03-19,Telecommunications,High Net Worth,No,NSW,50.0
Ermentrude,Heindle,Female,47,1969-08-02,Argiculture,Mass Customer,No,NSW,51.0
Alanna,Lerway,Female,26,1944-01-05,Health,Mass Customer,Yes,VIC,76.0
Vincent,Jopke,Male,6,1972-03-10,Property,Affluent Customer,No,VIC,48.0
Charlena,Berney,Female,55,1966-01-02,Manufacturing,High Net Worth,Yes,QLD,54.0
Engracia,Dobbs,Female,84,1959-04-19,Health,Mass Customer,No,NSW,61.0
Glyn,Dobbs,Male,47,1945-02-13,Manufacturing,Affluent Customer,Yes,NSW,75.0
Rosemonde,Cartwight,Female,44,1952-10-20,Retail,Mass Customer,Yes,QLD,67.0
Benoit,Harniman,Male,31,1976-08-27,Telecommunications,Affluent Customer,No,QLD,44.0
Jenelle,Fearnill,Female,12,1958-01-03,Health,High Net Worth,No,NSW,62.0
Tannie,Gambrell,Male,92,1967-05-25,Financial Services,Affluent Customer,No,QLD,53.0
Mick,Macewan,Male,32,1967-12-12,Financial Services,Mass Customer,No,NSW,52.0
Abbie,Oldman,Male,82,1983-11-26,Health,High Net Worth,Yes,NSW,36.0
Tabbie,Curner,Male,12,1997-03-13,Retail,Mass Customer,No,VIC,23.0
Shane,Killen,Male,28,1956-10-16,Entertainment,High Net Worth,No,NSW,63.0
Roberta,Goodale,Female,9,1947-02-28,Property,Mass Customer,Yes,QLD,73.0
Kippy,Barabisch,Male,11,2000-04-07,Manufacturing,Mass Customer,No,NSW,20.0
Cami,Barnbrook,Female,8,1963-01-01,Health,Affluent Customer,Yes,QLD,57.0
Dorian,Stollen,Male,78,1980-02-16,Financial Services,Mass Customer,Yes,NSW,40.0
Hunfredo,Hayball,Male,7,1994-04-15,IT,Affluent Customer,No,NSW,26.0
Giorgi,O'Shirine,Male,68,1981-06-20,Retail,Mass Customer,Yes,VIC,39.0
Kort,Disley,Male,66,1979-02-05,Health,Mass Customer,Yes,NSW,41.0
Tobiah,Heinsius,Male,66,2000-01-25,Health,High Net Worth,No,NSW,20.0
Wallace,Newart,Male,91,1977-12-06,IT,Mass Customer,No,QLD,42.0
Hersh,Stubbert,Male,0,2000-06-25,Manufacturing,Mass Customer,Yes,QLD,20.0
Wyn,Saynor,Male,54,1964-06-22,Financial Services,High Net Worth,No,NSW,56.0
Maribeth,Stivani,Female,46,1954-11-13,Financial Services,Mass Customer,No,NSW,65.0
Abigale,Sives,Female,48,1963-12-13,Health,Affluent Customer,Yes,QLD,56.0
Gothart,Artus,Male,52,1978-05-31,Health,Mass Customer,Yes,NSW,42.0
Danny,Bodle,Male,50,1943-09-24,Manufacturing,Mass Customer,Yes,NSW,76.0
Deborah,Petrovsky,Female,53,1943-07-14,Property,Mass Customer,No,NSW,77.0
Rolland,Esmead,Male,41,1940-07-13,Health,Affluent Customer,No,NSW,80.0
Latrena,Walklate,Female,97,1943-10-05,Telecommunications,High Net Worth,Yes,NSW,76.0
Leticia,Danovich,Female,84,1941-10-02,Entertainment,Mass Customer,Yes,QLD,78.0
Farra,Matyushkin,Female,18,1974-01-24,Manufacturing,High Net Worth,Yes,VIC,46.0
Robenia,Monks,Female,94,1959-05-08,Manufacturing,Mass Customer,No,QLD,61.0
Roman,Eastwood,Male,57,1969-09-21,Manufacturing,Affluent Customer,Yes,VIC,51.0
Solomon,Bruck,Male,29,1957-11-15,Health,Mass Customer,No,QLD,62.0
Katharine,Redbourn,Female,8,1967-09-11,Manufacturing,Affluent Customer,Yes,VIC,53.0
Cammy,Stoneham,Female,74,1963-05-02,Financial Services,High Net Worth,No,QLD,57.0
Ellsworth,Andrieux,Male,49,1971-04-26,Financial Services,Affluent Customer,Yes,QLD,49.0
Federico,Leuty,Male,59,1978-12-11,Property,High Net Worth,Yes,NSW,41.0
Ferdy,Hornung,Male,57,1974-05-14,Entertainment,High Net Worth,No,QLD,46.0
Sunny,Christescu,Female,90,1975-03-12,Financial Services,Mass Customer,No,NSW,45.0
Shadow,Yakutin,Male,85,1967-02-03,Health,Affluent Customer,Yes,QLD,53.0
Sharai,Priddie,Female,13,1961-01-16,Retail,Mass Customer,No,NSW,59.0
Celeste,Fretson,Female,91,1980-09-16,IT,Mass Customer,No,NSW,40.0
Lea,Ilyinski,Female,75,1997-09-25,Financial Services,High Net Worth,No,NSW,22.0
Dyann,Olechnowicz,Female,17,1939-07-17,Manufacturing,Mass Customer,No,VIC,81.0
Delly,Sunman,Female,49,1959-04-11,Retail,Mass Customer,No,VIC,61.0
Kaela,Romaines,Female,41,1971-11-27,Manufacturing,High Net Worth,No,NSW,48.0
Evonne,Bembridge,Female,9,1969-07-06,Retail,Mass Customer,Yes,VIC,51.0
Shannen,Lewin,Female,21,1991-06-07,Argiculture,High Net Worth,No,QLD,29.0
Bogey,Attew,Male,88,1992-11-18,IT,Mass Customer,Yes,QLD,27.0
Zondra,Ringham,Female,36,1948-01-13,Financial Services,Mass Customer,Yes,QLD,72.0
Barnebas,Apfel,Male,57,1996-02-19,Manufacturing,Affluent Customer,Yes,QLD,24.0
Gerri,Schimann,Female,81,1969-11-17,Property,Mass Customer,Yes,NSW,50.0
Antonietta,Egle,Female,82,1973-09-25,Financial Services,Mass Customer,No,VIC,46.0
Raff,Waycott,Male,70,1951-12-16,Manufacturing,Affluent Customer,Yes,VIC,68.0
Lark,Gonet,Female,89,1972-01-17,Health,High Net Worth,No,NSW,48.0
Cletis,Longley,Male,84,1996-07-01,Manufacturing,High Net Worth,Yes,VIC,24.0
Bartram,Di Lucia,Male,70,1961-01-03,Argiculture,Mass Customer,Yes,NSW,59.0
Theresa,Cowper,Female,99,1976-08-24,Manufacturing,Mass Customer,No,NSW,44.0
Philbert,Raraty,Male,48,1956-06-28,Manufacturing,Mass Customer,No,NSW,64.0
Egon,Ortells,Male,35,1976-06-11,Manufacturing,Affluent Customer,No,NSW,44.0
Timi,Duny,Female,70,1953-03-12,Telecommunications,High Net Worth,No,NSW,67.0
Dominick,Asher,Male,50,1962-10-06,Health,Affluent Customer,Yes,VIC,57.0
Raye,Roo,Female,64,1976-03-07,Financial Services,Mass Customer,Yes,VIC,44.0
Becka,Hacon,Female,81,1965-07-03,Financial Services,Affluent Customer,No,VIC,55.0
Verla,Dumingos,Female,26,1971-09-18,Telecommunications,Mass Customer,Yes,VIC,49.0
Sherrie,Godleman,Female,37,1978-04-02,Manufacturing,Mass Customer,No,VIC,42.0
Konstanze,Hovie,Female,88,1967-01-09,Health,Mass Customer,No,QLD,53.0
Bink,Bentje,Male,3,1957-03-23,Financial Services,High Net Worth,Yes,NSW,63.0
Taber,Szymon,Male,70,1947-04-22,Argiculture,Affluent Customer,No,QLD,73.0
Giana,Staresmeare,Female,96,1976-04-20,Retail,Affluent Customer,Yes,NSW,44.0
Morton,Petkens,Male,50,1990-11-13,Manufacturing,High Net Worth,Yes,VIC,29.0
Paquito,Atwood,Male,15,1972-07-30,Manufacturing,Affluent Customer,No,VIC,48.0
Shelli,Bartholomaus,Female,88,1963-05-11,Health,Mass Customer,Yes,VIC,57.0
Kermit,Lebond,Male,36,1980-02-01,Financial Services,Mass Customer,No,QLD,40.0
Biddie,Gorce,Female,68,1988-01-30,Financial Services,Mass Customer,Yes,NSW,32.0
Rupert,Marrow,Male,73,1970-08-08,Property,High Net Worth,No,NSW,50.0
Geoff,Sitford,Male,97,1965-02-27,Financial Services,Mass Customer,Yes,NSW,55.0
Ange,Chitham,Female,91,1991-02-14,Argiculture,Mass Customer,No,NSW,29.0
Tiphanie,Blackader,Female,59,1947-10-08,Retail,Mass Customer,No,NSW,72.0
Zollie,Crinidge,Male,39,1988-01-10,Retail,Mass Customer,Yes,QLD,32.0
Daisy,Pollen,Female,97,1993-08-09,Financial Services,Mass Customer,No,VIC,27.0
Emelen,Bidnall,Male,79,1981-08-05,Health,Affluent Customer,Yes,NSW,39.0
Manya,Abramovici,Female,42,1955-07-17,Financial Services,High Net Worth,Yes,QLD,65.0
Brynna,Tivers,Female,81,1974-08-09,Financial Services,Mass Customer,No,QLD,46.0
Alfi,Sabbins,Female,63,1959-06-12,Financial Services,High Net Worth,Yes,NSW,61.0
Loleta,Aberdalgy,Female,45,1981-02-15,Health,Mass Customer,No,NSW,39.0
Aldric,Birney,Male,21,1971-08-19,Manufacturing,Mass Customer,Yes,NSW,49.0
Natividad,Balducci,Female,39,1991-02-07,Property,High Net Worth,Yes,VIC,29.0
Claudine,Dymick,Female,28,1965-12-13,Health,Mass Customer,No,VIC,54.0
Seamus,Cains,Male,61,1989-12-15,Manufacturing,High Net Worth,No,NSW,30.0
Guss,Karim,Male,95,1968-11-24,Manufacturing,Mass Customer,No,NSW,51.0
Roch,Symson,Female,96,1978-05-13,Manufacturing,High Net Worth,No,VIC,42.0
Audry,Fann,Female,3,1957-10-17,Health,Mass Customer,Yes,VIC,62.0
Cecelia,Cisar,Female,20,1985-03-26,Property,Mass Customer,Yes,QLD,35.0
Clari,Voas,Female,74,1955-07-28,Health,Affluent Customer,Yes,NSW,65.0
Zach,Hedman,Male,87,1981-09-11,Financial Services,Affluent Customer,Yes,NSW,39.0
Parnell,Lamprey,Male,23,1977-04-08,Financial Services,High Net Worth,No,NSW,43.0
Honey,Gosdin,Female,0,1981-11-29,Property,Mass Customer,No,NSW,38.0
Sonny,McCart,Male,35,1992-08-27,Manufacturing,High Net Worth,No,VIC,28.0
Deirdre,Burgoine,Female,14,1955-01-08,Health,High Net Worth,No,VIC,65.0
Haleigh,Burgoine,Female,17,1952-05-19,Financial Services,Mass Customer,Yes,QLD,68.0
Zechariah,McReidy,Male,32,1978-07-22,Manufacturing,High Net Worth,No,QLD,42.0
Carry,Costi,Female,32,1972-11-26,Property,Mass Customer,No,NSW,47.0
Nil,Shirer,Male,64,1997-09-27,Entertainment,Mass Customer,Yes,VIC,22.0
Erhard,O'Moylane,Male,33,1978-05-27,Retail,Affluent Customer,Yes,VIC,42.0
Vitia,Axtens,Female,62,1945-08-08,Financial Services,Mass Customer,Yes,NSW,75.0
Haskell,Moxted,Male,81,1943-08-27,Manufacturing,Mass Customer,No,NSW,77.0
Ebony,Conrad,Female,8,1999-10-24,Financial Services,Mass Customer,Yes,VIC,20.0
Vladimir,Westmerland,Male,18,1956-06-19,Manufacturing,Mass Customer,Yes,NSW,64.0
Nicole,Ruckhard,Female,93,1969-10-09,Health,Affluent Customer,Yes,QLD,50.0
Celestina,Lethardy,Female,38,1968-12-11,IT,Mass Customer,Yes,VIC,51.0
Tannie,Petrakov,Male,84,1951-11-27,IT,Affluent Customer,No,QLD,68.0
Bessy,Saladin,Female,22,1939-12-22,Manufacturing,Mass Customer,Yes,QLD,80.0
Diego,Van den Broek,Male,17,1964-09-28,Manufacturing,Affluent Customer,Yes,QLD,55.0
Lucilia,Minshall,Female,71,1952-04-15,IT,Mass Customer,Yes,NSW,68.0
Cissiee,Pollington,Female,43,1941-07-21,Property,Mass Customer,Yes,NSW,79.0
Eddy,Sturch,Male,22,1961-02-11,Financial Services,High Net Worth,Yes,QLD,59.0
Caron,Kezar,Female,11,1953-08-08,Health,Mass Customer,No,NSW,67.0
Sandor,Stirland,Male,67,1981-05-26,Manufacturing,High Net Worth,No,VIC,39.0
Murial,Bulloch,Female,59,1964-10-01,Financial Services,Mass Customer,No,NSW,55.0
Delinda,Ech,Female,74,1944-10-21,Argiculture,Mass Customer,Yes,VIC,75.0
Hussein,Tapenden,Male,19,1953-10-19,Health,Affluent Customer,Yes,NSW,66.0
Kaylyn,Jakaway,Female,45,1980-07-30,Health,Affluent Customer,No,NSW,40.0
Brynn,Goodyear,Female,30,1944-11-10,Health,Mass Customer,Yes,VIC,75.0
Otis,Goodyear,Male,59,1971-01-11,Manufacturing,Affluent Customer,No,NSW,49.0
Pace,Clemonts,Male,99,1990-07-28,Retail,High Net Worth,No,VIC,30.0
Muffin,Grigolon,Male,7,1979-10-31,Telecommunications,Mass Customer,No,NSW,40.0
Allsun,Biner,Female,67,1997-12-26,Financial Services,Mass Customer,Yes,NSW,22.0
Kenneth,Elleyne,Male,13,1957-09-03,Financial Services,Mass Customer,No,VIC,63.0
Clotilda,Southers,Female,62,1999-11-08,Financial Services,Mass Customer,Yes,NSW,20.0
Augustus,Bourley,Male,60,1981-08-17,Health,Affluent Customer,No,QLD,39.0
Daisi,Tinwell,Female,84,1971-12-24,Financial Services,Mass Customer,No,NSW,48.0
Gerik,Woodroof,Male,18,1959-06-13,Financial Services,High Net Worth,Yes,VIC,61.0
Arty,Fontelles,Male,50,1994-10-21,IT,High Net Worth,No,VIC,25.0
Whit,Emloch,Male,30,1963-08-20,Health,Mass Customer,Yes,NSW,57.0
Rowan,Summerly,Male,4,1974-07-05,Entertainment,Mass Customer,No,NSW,46.0
Ian,Rabat,Male,54,1975-08-04,Financial Services,Affluent Customer,No,VIC,45.0
Link,Gorini,Male,60,1974-11-09,IT,High Net Worth,No,QLD,45.0
Harriet,Brattan,Female,81,1986-12-03,Financial Services,High Net Worth,No,VIC,33.0
Sada,Branton,Female,34,1974-06-24,Manufacturing,Affluent Customer,No,VIC,46.0
